incident_id,facility_id,equipment_id,related_sop_id,reporter_employee_id,title,description,hazard_category,shift,date_occurred,severity_reported,severity_ai_classified,ai_confidence,status,ai_investigation_summary,ai_root_cause,created_at
INC-0066,FAC-003,EQ-0016,SOP-0004,EMP-0027,Machine Guarding Failure – Standby Generator,Operator reported missing guard on Standby Generator allowing access to pinch point during night shift.,Machine Guarding Failure,Night,2023-11-11,Low,Low,0.79,Open,Site walk-down of Standby Generator area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,SOP for Standby Generator was outdated and did not reflect current equipment configuration.,2023-11-11
INC-0067,FAC-003,EQ-0013,SOP-0004,EMP-0027,Caught-In / Caught-Between – Hydraulic Press,Worker's hand came close to nip point on Hydraulic Press conveyor during clearing of jam.,Caught-In / Caught-Between,Swing,2024-02-05,Medium,High,0.8,Closed,"Investigation team reviewed Hydraulic Press operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on Hydraulic Press was inadequate for current operating conditions.,2024-02-05
INC-0068,FAC-001,EQ-0001,SOP-0005,EMP-0019,Forklift / Vehicle Incident – CNC Machining Center,Near-miss between forklift and pedestrian in aisle adjacent to CNC Machining Center.,Forklift / Vehicle Incident,Night,2024-04-29,Low,Low,0.81,Open,"Investigation team reviewed CNC Machining Center operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on CNC Machining Center was inadequate for current operating conditions.,2024-05-01
INC-0069,FAC-002,EQ-0026,SOP-0007,EMP-0020,Chemical Exposure – Cooling Tower,Employee experienced skin irritation after contact with degreasing solvent used near Cooling Tower.,Chemical Exposure,Day,2024-08-19,High,High,0.92,Closed,Site walk-down of Cooling Tower area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Communication breakdown between shifts regarding Cooling Tower status contributed to the incident.,2024-08-20
INC-0070,FAC-003,EQ-0007,SOP-0002,EMP-0012,Confined Space Hazard – Hydraulic Press,Entry attempted into confined space adjacent to Hydraulic Press without permit.,Confined Space Hazard,Day,2025-09-10,Medium,Low,0.92,Closed,Initial review of Hydraulic Press maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Design of Hydraulic Press work area did not adequately separate personnel from hazard zone.,2025-09-11
INC-0071,FAC-001,EQ-0009,SOP-0027,EMP-0007,Pressure System Failure – Paint Booth / Coating Line,"Pressure gauge reading anomaly detected on Paint Booth / Coating Line, unit taken offline as precaution.",Pressure System Failure,Night,2024-02-24,Low,Low,0.9,Open,"Investigation team reviewed Paint Booth / Coating Line operating parameters, training records, and prior near-miss reports for the area.",Procedure for Paint Booth / Coating Line was not followed due to production time pressure.,2024-02-25
INC-0072,FAC-003,EQ-0007,SOP-0010,EMP-0009,Electrical Hazard / Arc Flash – Hydraulic Press,Exposed wiring identified on Hydraulic Press control cabinet during routine inspection.,Electrical Hazard / Arc Flash,Night,2026-03-10,Medium,High,0.72,Closed,"Investigation team reviewed Hydraulic Press operating parameters, training records, and prior near-miss reports for the area.",Communication breakdown between shifts regarding Hydraulic Press status contributed to the incident.,2026-03-12
INC-0073,FAC-001,EQ-0040,SOP-0010,EMP-0001,Electrical Hazard / Arc Flash – Automated Guided Vehicle (AGV),Exposed wiring identified on Automated Guided Vehicle (AGV) control cabinet during routine inspection.,Electrical Hazard / Arc Flash,Night,2024-05-12,Medium,Medium,0.73,Closed,"Investigation team reviewed Automated Guided Vehicle (AGV) operating parameters, training records, and prior near-miss reports for the area.",Gap in operator training on Automated Guided Vehicle (AGV) safety procedures contributed to unsafe practice.,2024-05-13
INC-0074,FAC-003,EQ-0028,SOP-0029,EMP-0030,Slip/Trip/Fall – Packaging Line,"Worker tripped over unsecured cable near Packaging Line walkway, no injury reported.",Slip/Trip/Fall,Day,2025-03-16,Low,Low,0.84,Approved,"Investigation team reviewed Packaging Line operating parameters, training records, and prior near-miss reports for the area.",Communication breakdown between shifts regarding Packaging Line status contributed to the incident.,2025-03-16
INC-0075,FAC-003,EQ-0013,SOP-0005,EMP-0006,Forklift / Vehicle Incident – Hydraulic Press,Near-miss between forklift and pedestrian in aisle adjacent to Hydraulic Press.,Forklift / Vehicle Incident,Night,2023-10-29,Low,Medium,0.88,Closed,"Investigation team reviewed Hydraulic Press operating parameters, training records, and prior near-miss reports for the area.",Procedure for Hydraulic Press was not followed due to production time pressure.,2023-10-31
INC-0076,FAC-003,EQ-0002,SOP-0013,EMP-0018,Heat Stress – Overhead Bridge Crane,High ambient temperature near Overhead Bridge Crane area exceeded safe working thresholds.,Heat Stress,Night,2026-05-17,Low,Low,0.82,Closed,"Investigation team reviewed Overhead Bridge Crane operating parameters, training records, and prior near-miss reports for the area.",Insufficient preventive maintenance schedule for Overhead Bridge Crane allowed component degradation to go undetected.,2026-05-17
INC-0077,FAC-002,EQ-0042,SOP-0013,EMP-0014,Heat Stress – Standby Generator,High ambient temperature near Standby Generator area exceeded safe working thresholds.,Heat Stress,Day,2024-06-21,Low,Low,0.98,Open,Site walk-down of Standby Generator area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Procedure for Standby Generator was not followed due to production time pressure.,2024-06-21
INC-0078,FAC-002,EQ-0048,SOP-0007,EMP-0020,Chemical Exposure – Electrical Distribution Panel,"Small chemical splash occurred during transfer of cleaning agent, PPE prevented injury.",Chemical Exposure,Day,2024-05-08,Low,Low,0.71,Closed,Site walk-down of Electrical Distribution Panel area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Procedure for Electrical Distribution Panel was not followed due to production time pressure.,2024-05-10
INC-0079,FAC-002,EQ-0030,SOP-0005,EMP-0014,Forklift / Vehicle Incident – Cooling Tower,Near-miss between forklift and pedestrian in aisle adjacent to Cooling Tower.,Forklift / Vehicle Incident,Night,2024-09-23,High,High,0.82,Approved,Site walk-down of Cooling Tower area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Procedure for Cooling Tower was not followed due to production time pressure.,2024-09-23
INC-0080,FAC-001,EQ-0012,SOP-0024,EMP-0010,Housekeeping / Walkway Obstruction – Punch Press,Debris accumulation near Punch Press blocked emergency egress path.,Housekeeping / Walkway Obstruction,Day,2025-08-23,Low,Low,0.86,In Review,"Investigation team reviewed Punch Press operating parameters, training records, and prior near-miss reports for the area.",Communication breakdown between shifts regarding Punch Press status contributed to the incident.,2025-08-24
INC-0081,FAC-002,EQ-0050,SOP-0004,EMP-0005,Machine Guarding Failure – Overhead Bridge Crane,Operator reported missing guard on Overhead Bridge Crane allowing access to pinch point during swing shift.,Machine Guarding Failure,Swing,2025-02-23,Medium,Medium,0.69,Closed,Initial review of Overhead Bridge Crane maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,SOP for Overhead Bridge Crane was outdated and did not reflect current equipment configuration.,2025-02-25
INC-0082,FAC-001,EQ-0009,SOP-0002,EMP-0025,Confined Space Hazard – Paint Booth / Coating Line,Atmospheric monitoring flagged low oxygen levels prior to entry near Paint Booth / Coating Line tank.,Confined Space Hazard,Swing,2026-03-11,High,High,0.88,Approved,Initial review of Paint Booth / Coating Line maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Gap in operator training on Paint Booth / Coating Line safety procedures contributed to unsafe practice.,2026-03-11
INC-0083,FAC-002,EQ-0038,SOP-0017,EMP-0008,Noise Exposure – Paint Booth / Coating Line,Employee reported ringing in ears after extended exposure near Paint Booth / Coating Line.,Noise Exposure,Day,2026-07-09,Low,Low,0.69,Closed,"Investigation team reviewed Paint Booth / Coating Line operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on Paint Booth / Coating Line was inadequate for current operating conditions.,2026-07-10
INC-0084,FAC-003,EQ-0043,SOP-0010,EMP-0021,Electrical Hazard / Arc Flash – CNC Machining Center,Arc flash incident occurred while technician opened electrical panel on CNC Machining Center without verifying de-energization.,Electrical Hazard / Arc Flash,Swing,2024-07-29,Low,Medium,0.93,Open,"Investigation team reviewed CNC Machining Center operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on CNC Machining Center was inadequate for current operating conditions.,2024-07-31
INC-0085,FAC-003,EQ-0047,SOP-0002,EMP-0021,Confined Space Hazard – Conveyor System,Entry attempted into confined space adjacent to Conveyor System without permit.,Confined Space Hazard,Day,2025-07-10,Medium,Medium,0.77,Approved,"Investigation team reviewed Conveyor System operating parameters, training records, and prior near-miss reports for the area.",Design of Conveyor System work area did not adequately separate personnel from hazard zone.,2025-07-12
INC-0086,FAC-003,EQ-0002,SOP-0013,EMP-0015,Heat Stress – Overhead Bridge Crane,High ambient temperature near Overhead Bridge Crane area exceeded safe working thresholds.,Heat Stress,Night,2023-12-15,Medium,Medium,0.87,Approved,"Investigation team reviewed Overhead Bridge Crane operating parameters, training records, and prior near-miss reports for the area.",Design of Overhead Bridge Crane work area did not adequately separate personnel from hazard zone.,2023-12-16
INC-0087,FAC-001,EQ-0041,SOP-0013,EMP-0004,Ergonomic Strain – CNC Machining Center,Employee reported lower back strain after repetitive lifting at CNC Machining Center station.,Ergonomic Strain,Night,2024-09-25,Low,Low,0.73,In Review,"Investigation team reviewed CNC Machining Center operating parameters, training records, and prior near-miss reports for the area.",Gap in operator training on CNC Machining Center safety procedures contributed to unsafe practice.,2024-09-26
INC-0088,FAC-003,EQ-0047,SOP-0001,EMP-0015,Lockout/Tagout Violation – Conveyor System,Technician began maintenance on Conveyor System before verifying zero energy state; near-miss caught by co-worker.,Lockout/Tagout Violation,Night,2025-06-27,Critical,Critical,0.79,Approved,Initial review of Conveyor System maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Procedure for Conveyor System was not followed due to production time pressure.,2025-06-29
INC-0089,FAC-002,EQ-0050,SOP-0027,EMP-0020,Pressure System Failure – Overhead Bridge Crane,"Pressure gauge reading anomaly detected on Overhead Bridge Crane, unit taken offline as precaution.",Pressure System Failure,Night,2024-09-28,Critical,Critical,0.77,Approved,Site walk-down of Overhead Bridge Crane area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Design of Overhead Bridge Crane work area did not adequately separate personnel from hazard zone.,2024-09-29
INC-0090,FAC-003,EQ-0021,SOP-0013,EMP-0021,Heat Stress – Air Compressor,High ambient temperature near Air Compressor area exceeded safe working thresholds.,Heat Stress,Swing,2025-03-14,Low,Medium,0.84,Open,Site walk-down of Air Compressor area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Design of Air Compressor work area did not adequately separate personnel from hazard zone.,2025-03-15
INC-0091,FAC-001,EQ-0008,SOP-0001,EMP-0004,Lockout/Tagout Violation – Standby Generator,LOTO device found removed from Standby Generator while work was still in progress.,Lockout/Tagout Violation,Night,2025-08-10,High,High,0.82,Open,Initial review of Standby Generator maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Design of Standby Generator work area did not adequately separate personnel from hazard zone.,2025-08-12
INC-0092,FAC-002,EQ-0050,SOP-0014,EMP-0026,Fire / Explosion Risk – Overhead Bridge Crane,"Overheating detected on Overhead Bridge Crane motor housing, smoke observed, no ignition.",Fire / Explosion Risk,Day,2025-01-03,Low,Medium,0.87,Closed,Initial review of Overhead Bridge Crane maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Insufficient preventive maintenance schedule for Overhead Bridge Crane allowed component degradation to go undetected.,2025-01-04
INC-0093,FAC-002,EQ-0046,SOP-0007,EMP-0023,Chemical Exposure – Ventilation / Dust Collection System,Employee experienced skin irritation after contact with degreasing solvent used near Ventilation / Dust Collection System.,Chemical Exposure,Day,2024-07-20,Low,Low,0.88,In Review,Site walk-down of Ventilation / Dust Collection System area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Existing engineering control on Ventilation / Dust Collection System was inadequate for current operating conditions.,2024-07-21
INC-0094,FAC-003,EQ-0003,SOP-0029,EMP-0006,Slip/Trip/Fall – Paint Booth / Coating Line,"Employee slipped on hydraulic fluid leak near Paint Booth / Coating Line, sustained minor bruising.",Slip/Trip/Fall,Night,2024-08-24,Low,Low,0.98,Closed,Site walk-down of Paint Booth / Coating Line area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Design of Paint Booth / Coating Line work area did not adequately separate personnel from hazard zone.,2024-08-25
INC-0095,FAC-001,EQ-0044,SOP-0002,EMP-0013,Confined Space Hazard – Air Compressor,Atmospheric monitoring flagged low oxygen levels prior to entry near Air Compressor tank.,Confined Space Hazard,Day,2024-04-07,High,High,0.82,Closed,"Investigation team reviewed Air Compressor operating parameters, training records, and prior near-miss reports for the area.",SOP for Air Compressor was outdated and did not reflect current equipment configuration.,2024-04-09
INC-0096,FAC-002,EQ-0023,SOP-0024,EMP-0008,Housekeeping / Walkway Obstruction – Conveyor System,Debris accumulation near Conveyor System blocked emergency egress path.,Housekeeping / Walkway Obstruction,Swing,2024-04-18,Low,Low,0.76,Open,Initial review of Conveyor System maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Insufficient preventive maintenance schedule for Conveyor System allowed component degradation to go undetected.,2024-04-20
INC-0097,FAC-002,EQ-0034,SOP-0024,EMP-0029,Falling Object / Struck-By – Conveyor System,"Component fell from overhead storage near Conveyor System, narrowly missing employee below.",Falling Object / Struck-By,Night,2025-12-09,High,Critical,0.71,Closed,"Investigation team reviewed Conveyor System operating parameters, training records, and prior near-miss reports for the area.",Insufficient preventive maintenance schedule for Conveyor System allowed component degradation to go undetected.,2025-12-09
INC-0098,FAC-001,EQ-0015,SOP-0017,EMP-0013,Noise Exposure – Paint Booth / Coating Line,Sound level survey near Paint Booth / Coating Line exceeded 90 dBA without proper hearing protection use.,Noise Exposure,Day,2025-10-25,Low,Low,0.77,Closed,"Investigation team reviewed Paint Booth / Coating Line operating parameters, training records, and prior near-miss reports for the area.",SOP for Paint Booth / Coating Line was outdated and did not reflect current equipment configuration.,2025-10-25
INC-0099,FAC-002,EQ-0038,SOP-0013,EMP-0003,Ergonomic Strain – Paint Booth / Coating Line,Employee reported lower back strain after repetitive lifting at Paint Booth / Coating Line station.,Ergonomic Strain,Night,2026-04-11,Low,Low,0.83,Open,"Investigation team reviewed Paint Booth / Coating Line operating parameters, training records, and prior near-miss reports for the area.",Design of Paint Booth / Coating Line work area did not adequately separate personnel from hazard zone.,2026-04-12
INC-0100,FAC-003,EQ-0011,SOP-0002,EMP-0015,Confined Space Hazard – Hydraulic Press,Entry attempted into confined space adjacent to Hydraulic Press without permit.,Confined Space Hazard,Night,2024-11-22,Critical,Critical,0.82,Closed,"Investigation team reviewed Hydraulic Press operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on Hydraulic Press was inadequate for current operating conditions.,2024-11-23
