risk_assessment_id,hazard_id,facility_id,equipment_id,source_incident_id,assessment_date,assessed_by_employee_id,likelihood,severity,raw_score,control_effectiveness_rating,control_effectiveness_factor,recurrence_count_trailing_12mo,recurrence_factor,trend,trend_factor,adjusted_score,risk_level,methodology_notes,status
RA-0064,HAZ-0095,FAC-004,,,2025-03-27,EMP-0031,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0065,HAZ-0096,FAC-005,EQ-0044,,2026-04-07,EMP-0003,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0066,HAZ-0097,FAC-005,,,2026-03-21,EMP-0009,1,3,3,Not Assessed,1.0,0,1.0,Stable,1.0,3.0,Low,"raw_score = likelihood(1) x severity(3) = 3. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 3 x 1.0 x 1.0 x 1.0 = 3.0, clipped to [0,25].",Current
RA-0067,HAZ-0098,FAC-005,EQ-0041,,2025-05-21,EMP-0009,2,4,8,Not Assessed,1.0,1,1.15,Increasing,1.1,10.1,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 8 x 1.0 x 1.15 x 1.1 = 10.1, clipped to [0,25].",Current
RA-0068,HAZ-0099,FAC-005,EQ-0040,,2026-05-01,EMP-0003,3,4,12,Effective,0.6,2,1.15,Increasing,1.1,9.1,Medium,"raw_score = likelihood(3) x severity(4) = 12. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.15 (2 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 12 x 0.6 x 1.15 x 1.1 = 9.1, clipped to [0,25].",Current
RA-0069,HAZ-0102,FAC-005,EQ-0048,,2025-03-11,EMP-0068,1,3,3,Effective,0.6,0,1.0,Stable,1.0,1.8,Low,"raw_score = likelihood(1) x severity(3) = 3. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 3 x 0.6 x 1.0 x 1.0 = 1.8, clipped to [0,25].",Current
RA-0070,HAZ-0103,FAC-005,EQ-0043,,2026-05-27,EMP-0068,2,2,4,Not Assessed,1.0,1,1.15,Increasing,1.1,5.1,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 4 x 1.0 x 1.15 x 1.1 = 5.1, clipped to [0,25].",Current
RA-0071,HAZ-0104,FAC-005,EQ-0046,,2025-06-21,EMP-0068,1,2,2,Effective,0.6,0,1.0,Stable,1.0,1.2,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 0.6 x 1.0 x 1.0 = 1.2, clipped to [0,25].",Current
RA-0072,HAZ-0105,FAC-005,EQ-0041,,2025-11-22,EMP-0013,2,4,8,Ineffective,1.0,1,1.15,Decreasing,0.9,8.3,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Ineffective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 8 x 1.0 x 1.15 x 0.9 = 8.3, clipped to [0,25].",Current
RA-0073,HAZ-0106,FAC-005,EQ-0046,,2025-12-06,EMP-0007,2,4,8,Not Assessed,1.0,1,1.15,Increasing,1.1,10.1,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 8 x 1.0 x 1.15 x 1.1 = 10.1, clipped to [0,25].",Current
RA-0074,HAZ-0107,FAC-005,,,2025-09-03,EMP-0062,1,5,5,Effective,0.6,0,1.0,Stable,1.0,3.0,Low,"raw_score = likelihood(1) x severity(5) = 5. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 5 x 0.6 x 1.0 x 1.0 = 3.0, clipped to [0,25].",Current
RA-0075,HAZ-0108,FAC-005,EQ-0041,,2025-12-30,EMP-0039,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0076,HAZ-0109,FAC-005,EQ-0048,,2026-05-17,EMP-0002,1,2,2,Partially Effective,0.85,0,1.0,Stable,1.0,1.7,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 0.85 x 1.0 x 1.0 = 1.7, clipped to [0,25].",Current
RA-0077,HAZ-0113,FAC-005,EQ-0043,,2025-11-03,EMP-0009,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0078,HAZ-0117,FAC-006,,,2026-05-31,EMP-0039,2,4,8,Ineffective,1.0,1,1.15,Decreasing,0.9,8.3,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Ineffective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 8 x 1.0 x 1.15 x 0.9 = 8.3, clipped to [0,25].",Current
RA-0079,HAZ-0119,FAC-006,EQ-0055,,2025-10-12,EMP-0013,2,4,8,Not Assessed,1.0,1,1.15,Increasing,1.1,10.1,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 8 x 1.0 x 1.15 x 1.1 = 10.1, clipped to [0,25].",Current
RA-0080,HAZ-0121,FAC-006,,,2026-07-09,EMP-0068,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0081,HAZ-0124,FAC-006,,,2025-09-24,EMP-0009,3,4,12,Not Assessed,1.0,2,1.15,Stable,1.0,13.8,High,"raw_score = likelihood(3) x severity(4) = 12. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (2 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 12 x 1.0 x 1.15 x 1.0 = 13.8, clipped to [0,25].",Current
RA-0082,HAZ-0125,FAC-006,,,2025-05-17,EMP-0003,1,5,5,Not Assessed,1.0,0,1.0,Stable,1.0,5.0,Low,"raw_score = likelihood(1) x severity(5) = 5. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 5 x 1.0 x 1.0 x 1.0 = 5.0, clipped to [0,25].",Current
RA-0083,HAZ-0126,FAC-006,,,2025-06-14,EMP-0002,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0084,HAZ-0128,FAC-006,EQ-0054,,2026-04-24,EMP-0031,1,3,3,Not Assessed,1.0,0,1.0,Stable,1.0,3.0,Low,"raw_score = likelihood(1) x severity(3) = 3. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 3 x 1.0 x 1.0 x 1.0 = 3.0, clipped to [0,25].",Current
RA-0085,HAZ-0129,FAC-006,EQ-0049,,2026-01-17,EMP-0004,3,2,6,Partially Effective,0.85,3,1.3,Decreasing,0.9,6.0,Medium,"raw_score = likelihood(3) x severity(2) = 6. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.3 (3 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 6 x 0.85 x 1.3 x 0.9 = 6.0, clipped to [0,25].",Current
RA-0086,HAZ-0130,FAC-006,EQ-0052,,2025-08-17,EMP-0007,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0087,HAZ-0131,FAC-006,EQ-0050,,2025-10-12,EMP-0003,2,3,6,Not Assessed,1.0,1,1.15,Increasing,1.1,7.6,Medium,"raw_score = likelihood(2) x severity(3) = 6. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 6 x 1.0 x 1.15 x 1.1 = 7.6, clipped to [0,25].",Current
RA-0088,HAZ-0132,FAC-007,EQ-0063,,2025-10-27,EMP-0009,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0089,HAZ-0135,FAC-007,EQ-0063,,2025-08-28,EMP-0056,2,3,6,Not Assessed,1.0,1,1.15,Increasing,1.1,7.6,Medium,"raw_score = likelihood(2) x severity(3) = 6. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 6 x 1.0 x 1.15 x 1.1 = 7.6, clipped to [0,25].",Current
RA-0090,HAZ-0138,FAC-007,EQ-0058,,2026-04-06,EMP-0039,2,2,4,Not Assessed,1.0,1,1.15,Increasing,1.1,5.1,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 4 x 1.0 x 1.15 x 1.1 = 5.1, clipped to [0,25].",Current
RA-0091,HAZ-0139,FAC-007,EQ-0060,,2026-07-19,EMP-0009,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0092,HAZ-0141,FAC-007,EQ-0063,,2025-12-27,EMP-0003,2,4,8,Effective,0.6,1,1.15,Increasing,1.1,6.1,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 8 x 0.6 x 1.15 x 1.1 = 6.1, clipped to [0,25].",Current
RA-0093,HAZ-0142,FAC-007,EQ-0062,,2025-11-19,EMP-0009,1,4,4,Partially Effective,0.85,0,1.0,Stable,1.0,3.4,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 0.85 x 1.0 x 1.0 = 3.4, clipped to [0,25].",Current
RA-0094,HAZ-0143,FAC-007,EQ-0058,,2025-04-20,EMP-0003,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0095,HAZ-0144,FAC-007,EQ-0061,,2026-08-15,EMP-0039,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0096,HAZ-0145,FAC-007,EQ-0065,,2025-09-26,EMP-0013,2,4,8,Not Assessed,1.0,1,1.15,Decreasing,0.9,8.3,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 8 x 1.0 x 1.15 x 0.9 = 8.3, clipped to [0,25].",Current
RA-0097,HAZ-0149,FAC-007,EQ-0061,,2025-10-28,EMP-0056,3,4,12,Not Assessed,1.0,2,1.15,Increasing,1.1,15.2,High,"raw_score = likelihood(3) x severity(4) = 12. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (2 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 12 x 1.0 x 1.15 x 1.1 = 15.2, clipped to [0,25].",Current
